participant_name,label_pointsbet,label_draftkings,label_caesers,label_betmgm
,UC Riverside Highlanders,,UC Riverside Highlanders,
UMass Lowell,,UMass Lowell,,UMass Lowell
UNLV,UNLV Runnin Rebels,UNLV,UNLV Runnin Rebels,UNLV
USC,USC Trojans,USC,USC Trojans,USC
UT Arlington,,UT Arlington,,UT Arlington
UT Rio Grande Valley,,UT Rio Grande Valley,,UT Rio Grande Valley
Utah,,Utah,,Utah
Utah State,Utah State Aggies,Utah State,Utah State Aggies,Utah State
Utah Tech,Utah Tech Trailblazers,Utah Tech,Utah Tech Trailblazers,Utah Tech
Utah Valley,Utah Valley State Wolverines,Utah Valley,Utah Valley State Wolverines,Utah Valley
UTEP,UTEP Miners,UTEP,UTEP Miners,UTEP
Vanderbilt,Vanderbilt Commodores,Vanderbilt,Vanderbilt Commodores,Vanderbilt
VCU,VCU Rams,VCU,VCU Rams,VCU
Vermont,,Vermont,,Vermont
Villanova,Villanova Wildcats,Villanova,Villanova Wildcats,Villanova
Virginia,Virginia Cavaliers,Virginia,Virginia Cavaliers,Virginia
Virginia Tech,Virginia Tech Hokies,Virginia Tech,Virginia Tech Hokies,Virginia Tech
Wake Forest,Wake Forest Demon Deacons,Wake Forest,Wake Forest Demon Deacons,Wake Forest
Washington,Washington Huskies,Washington,Washington Huskies,Washington
Washington State,Washington State Cougars,Washington State,Washington State Cougars,Washington State
Weber State,Weber State Wildcats,Weber State,Weber State Wildcats,Weber State
West Virginia,West Virginia Mountaineers,West Virginia,West Virginia Mountaineers,West Virginia
Western Kentucky,Western Kentucky Hilltoppers,Western Kentucky,Western Kentucky Hilltoppers,Western Kentucky
Wichita State,Wichita State Shockers,Wichita State,Wichita State Shockers,Wichita State
Wisconsin,Wisconsin Badgers,Wisconsin,Wisconsin Badgers,Wisconsin
Wyoming,Wyoming Cowboys,Wyoming,Wyoming Cowboys,Wyoming
Xavier,Xavier Musketeers,Xavier,Xavier Musketeers,Xavier
Yale,Yale,Yale,Yale,Yale
